,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
3534449,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-15,7.0,4.0,-1.0,1.0,6.0,0.0
3534450,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-16,3.0,5.0,-2.0,-3.0,1.0,1.0
3534451,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-17,-1.0,0.0,-3.0,-2.0,8.0,1.0
3534452,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-18,0.0,1.0,-3.0,0.0,5.0,0.0
3534453,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-19,-3.0,-3.0,-4.0,-6.0,5.0,1.0
3534454,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-20,-2.0,-2.0,-5.0,-5.0,6.0,0.0
3534455,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-21,-2.0,-2.0,-8.0,-6.0,8.0,1.0
3534456,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-22,1.0,0.0,-1.0,-1.0,7.0,0.0
3534457,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-23,-3.0,0.0,0.0,-7.0,2.0,1.0
3534458,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-24,1.0,-1.0,6.0,-4.0,4.0,1.0
3534459,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-25,0.0,-2.0,11.0,-18.0,-43.0,11.0
3534460,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-26,-3.0,-1.0,0.0,-3.0,6.0,0.0
3534461,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-27,-2.0,-1.0,-4.0,-6.0,6.0,0.0
3534462,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-28,-1.0,1.0,-6.0,-6.0,8.0,0.0
3534463,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-02-29,5.0,6.0,-1.0,0.0,9.0,0.0
3534464,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-03-01,2.0,7.0,0.0,-5.0,5.0,1.0
3534465,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-03-02,0.0,2.0,-2.0,-5.0,9.0,0.0
3534466,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-03-03,1.0,2.0,-2.0,-4.0,7.0,0.0
3534467,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-03-04,-1.0,2.0,-1.0,-7.0,6.0,1.0
3534468,PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2020-03-05,0.0,2.0,-3.0,-6.0,7.0,0.0
