C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/median,C0/p10,C0/p90
2020-06-22T00:00:00.000Z,-1.04224E-05,3.08755E-05,5.26447E-06,5.2753E-06,5.27051E-06,-1.27848E-06,1.19725E-05
2020-06-23T00:00:00.000Z,-1.00727E-05,2.70785E-05,7.66302E-06,5.48769E-06,7.56832E-06,9.14E-07,1.43356E-05
2020-06-24T00:00:00.000Z,-1.74821E-05,3.00557E-05,8.21265E-06,7.44222E-06,8.13843E-06,-3.09E-07,1.80691E-05
2020-06-25T00:00:00.000Z,-7.8352E-06,4.69096E-05,8.7776E-06,8.4324E-06,8.56001E-06,-2.16414E-06,2.24052E-05
2020-06-26T00:00:00.000Z,-8.34062E-06,4.31978E-05,1.10173E-05,7.25651E-06,1.0462E-05,2.21406E-06,2.07801E-05
2020-06-28T00:00:00.000Z,-5.8609E-06,3.51613E-05,1.06339E-05,6.29668E-06,9.93213E-06,3.31569E-06,1.9153E-05
2020-06-29T00:00:00.000Z,-1.36905E-05,3.9086E-05,1.03258E-05,9.04141E-06,1.08779E-05,-1.89164E-06,2.17078E-05
2020-06-30T00:00:00.000Z,-2.71374E-05,3.57217E-05,4.80015E-06,8.55372E-06,4.89646E-06,-6.07994E-06,1.54673E-05
2020-07-01T00:00:00.000Z,-1.88946E-05,2.81765E-05,4.43853E-06,7.87594E-06,4.32445E-06,-5.5453E-06,1.48908E-05
2020-07-02T00:00:00.000Z,-8.73516E-06,4.31014E-05,1.28294E-05,8.31625E-06,1.25885E-05,2.68847E-06,2.3127E-05
2020-07-03T00:00:00.000Z,-6.23719E-06,2.55147E-05,8.1877E-06,5.34193E-06,8.23266E-06,1.74727E-06,1.55081E-05
2020-07-04T00:00:00.000Z,-1.94232E-05,2.51745E-05,5.12356E-06,5.64971E-06,4.80415E-06,-1.75144E-06,1.22285E-05
2020-07-05T00:00:00.000Z,-1.91025E-05,2.58441E-05,4.31149E-06,6.75704E-06,4.25729E-06,-4.21576E-06,1.2745E-05
2020-07-06T00:00:00.000Z,-1.48577E-05,3.3778E-05,6.49667E-06,6.50491E-06,6.6576E-06,-1.93864E-06,1.4412E-05
2020-07-07T00:00:00.000Z,-1.40747E-05,2.71464E-05,5.54673E-06,6.46904E-06,5.62225E-06,-3.31421E-06,1.39736E-05
2020-07-08T00:00:00.000Z,-1.36646E-05,2.18198E-05,4.99991E-06,5.28394E-06,4.95238E-06,-1.13491E-06,1.15407E-05
